Ann�e;libelle_geographique;code_insee;Population_municipale;Depenses_culturelles_totales (K�);Budget_Total_commune (K�)
2019;Riec-sur-B�lon;29236;4172;32;4792
2020;RIEC-SUR-BELON;29236;4289;30;
2019;Rosporden;29241;7633;605;9616
2020;ROSPORDEN;29241;7795;664;
2019;Saint-�varzec;29247;3516;142;3045
2020;SAINT-EVARZEC;29247;3629;129;
2020;SAINT-MARTIN-DES-CHAMPS;29254;4772;625;
2019;Saint-Martin-des-Champs;29254;4626;578;7042
2019;Saint-Pol-de-L�on;29259;6603;1567;8397
2020;SAINT-POL-DE-LEON;29259;6845;1055;
2019;Saint-Renan;29260;8122;1947;11856
2020;SAINT-RENAN;29260;8316;687;
2020;SCAER;29274;5457;276;
2019;Sca�r;29274;5345;358;4912
2020;TREGUNC;29293;7263;624;
2019;Tr�gunc;29293;7039;668;6449
2020;PONT-DE-BUIS-LES-QUIMERCH;29302;3858;102;
2019;Pont-de-Buis-l�s-Quimerch;29302;3716;113;4179
2019;Beaussais-sur-Mer;22209;3611;23;5374
2020;ACIGNE;35001;6977;451;
2019;Acign�;35001;6814;501;7782
2020;VAL COUESNON;35004;4247;379;
2019;Val-Couesnon;35004;4158;688;3855
2019;Argentr�-du-Plessis;35006;4447;337;4051
2020;ARGENTRE-DU-PLESSIS;35006;4574;391;
2019;Bain-de-Bretagne;35012;7331;378;9303
2020;BAIN-DE-BRETAGNE;35012;7498;286;
2019;Bains-sur-Oust;35013;3491;769;3683
2020;BAINS-SUR-OUST;35013;3637;1003;
2020;BEDEE;35023;4435;163;
2019;B�d�e;35023;4363;677;4656
2019;Betton;35024;11968;769;14867
2020;BETTON;35024;12221;643;
2019;La Bou�xi�re;35031;4486;198;5977
2020;BOUEXIERE (LA );35031;4592;176;
2019;Bourgbarr�;35032;4277;134;3428
2020;BOURGBARRE;35032;4336;107;
2020;BREAL-SOUS-MONTFORT;35037;6342;253;
2019;Br�al-sous-Montfort;35037;6262;288;6234
2020;BRETEIL;35040;3697;118;
2019;Breteil;35040;3620;142;2934
2020;BRUZ;35047;18972;1468;
2019;Bruz;35047;18516;1411;18198
2020;CANCALE;35049;5237;684;
2019;Cancale;35049;5147;270;11073
2020;CESSON-SEVIGNE;35051;17853;2394;
2019;Cesson-S�vign�;35051;17312;2633;20597
2020;CHANTEPIE;35055;10655;639;
2019;Chantepie;35055;10458;747;11003
2020;CHAPELLE-DES-FOUGERETZ (LA );35059;4832;110;
2019;La Chapelle-des-Fougeretz;35059;4735;81;4330
2019;Chartres-de-Bretagne;35066;8023;759;10207
2020;CHARTRES-DE-BRETAGNE;35066;8154;769;
2019;Ch�teaubourg;35068;7240;254;9347
2020;CHATEAUBOURG;35068;7393;341;
2019;Ch�teaugiron;35069;10125;1739;9057
2020;CHATEAUGIRON CNE NOUVELLE;35069;10384;1377;
2019;Chavagne;35076;4187;186;3558
2020;CHAVAGNE;35076;4267;182;
2020;COMBOURG;35085;6088;159;
2019;Combourg;35085;5945;154;6754
2019;Dinard;35093;10148;3628;27743
2020;DINARD;35093;10674;3901;
2019;Dol-de-Bretagne;35095;5714;653;7233
2020;DOL-DE-BRETAGNE;35095;6027;926;
2020;FOUGERES;35115;21186;1347;
2019;Foug�res;35115;20528;1447;25223
2019;G�vez�;35120;5411;124;4781
2020;GEVEZE;35120;5517;162;
2019;Goven;35123;4324;286;3066
2020;GOVEN;35123;4414;203;
2019;La Guerche-de-Bretagne;35125;4233;289;4909
2020;GUERCHE-DE-BRETAGNE (LA );35125;4380;423;
2019;Guichen;35126;8646;97;9727
2020;GUICHEN;35126;8847;77;
2019;Guignen;35127;3944;142;4782
2020;GUIGNEN;35127;4040;101;
2020;HERMITAGE (L' );35131;4613;140;
2019;L'Hermitage;35131;4533;163;3313
2019;Iffendic;35133;4528;201;4485
2020;IFFENDIC;35133;4620;184;
2019;Janz�;35136;8329;426;7483
2020;JANZE;35136;8485;259;
2019;Laill�;35139;5069;186;4475
2020;LAILLE;35139;5216;198;
2019;Liffr�;35152;7768;677;12028
2020;LIFFRE;35152;7902;490;
2019;Val d'Anast;35168;3965;230;4765
2020;VAL D'ANAST;35168;4046;245;
2020;MELESSE;35173;6907;458;
2019;Melesse;35173;6803;372;7208
2019;Guipry-Messac;35176;7034;287;7669
2020;GUIPRY-MESSAC;35176;7179;255;
2020;MEZIERE (LA );35177;5052;46;
2019;La M�zi�re;35177;4932;57;4631
2019;Miniac-Morvan;35179;4040;49;3073
2020;MINIAC-MORVAN;35179;4118;50;
2019;Montauban-de-Bretagne;35184;5946;227;6120
2020;MONTAUBAN DE BRETAGNE;35184;6189;217;
2020;MONTFORT-SUR-MEU;35188;6863;450;
2019;Montfort-sur-Meu;35188;6691;472;7452
2020;MORDELLES;35196;7497;272;
2019;Mordelles;35196;7356;277;6002
2020;NOYAL-CHATILLON-SUR-SEICHE;35206;7010;765;
2019;Noyal-Ch�tillon-sur-Seiche;35206;6885;680;8947
2019;Noyal-sur-Vilaine;35207;6070;674;8508
2020;NOYAL-SUR-VILAINE;35207;6218;528;
2020;ORGERES;35208;5112;533;
2019;Org�res;35208;4993;201;3863
2020;PACE;35210;12151;1578;
2019;Pac�;35210;11825;2415;11056
2020;PIPRIAC;35219;3854;84;
2019;Pipriac;35219;3779;81;3905
2019;Pl�lan-le-Grand;35223;3986;7;5336
2020;PLELAN-LE-GRAND;35223;4073;31;
2019;Pleurtuit;35228;6910;146;5164
2020;PLEURTUIT;35228;7032;129;
2020;REDON;35236;9922;592;
2019;Redon;35236;9151;836;15309
2019;Rennes;35238;217728;43504;344670
2020;RENNES;35238;221898;42596;
2019;Retiers;35239;4402;109;4194
2020;RETIERS;35239;4497;44;
2019;Le Rheu;35240;8914;978;10336
2020;RHEU (LE );35240;9206;982;
2020;ROMILLE;35245;4014;58;
2019;Romill�;35245;3942;56;3782
2019;Saint-Aubin-d'Aubign�;35251;3859;185;4170
2020;SAINT-AUBIN-D'AUBIGNE;35251;3941;263;
2019;Saint-Aubin-du-Cormier;35253;3901;251;3973
2020;SAINT-AUBIN-DU-CORMIER;35253;4061;361;
2019;Maen Roch;35257;4921;0;4672
2019;Saint-Gilles;35275;5093;316;4620
2020;SAINT-GILLES;35275;5177;263;
2020;SAINT-GREGOIRE;35278;10135;4490;
2019;Saint-Gr�goire;35278;9765;1097;15621
2019;Saint-Jacques-de-la-Lande;35281;13533;1446;16499
2020;SAINT-JACQUES-DE-LA-LANDE;35281;13687;1280;
2020;SAINT-MALO;35288;47817;10892;
2019;Saint-Malo;35288;46478;13394;81905
2019;Saint-M�en-le-Grand;35297;4622;218;5140
2020;SAINT-MEEN-LE-GRAND;35297;4791;176;
2020;SAINT-MELOIR-DES-ONDES;35299;4317;62;
2019;Saint-M�loir-des-Ondes;35299;4211;76;3354
2020;MESNIL ROC'H;35308;4399;155;
2019;Mesnil-Roc'h;35308;4323;151;4757
2020;SERVON-SUR-VILAINE;35327;3827;1928;
2019;Servon-sur-Vilaine;35327;3740;1427;5375
2019;Thorign�-Fouillard;35334;8519;568;6969
2020;THORIGNE-FOUILLARD;35334;8729;625;
2019;Tint�niac;35337;3704;137;2978
2020;TINTENIAC;35337;3895;121;
2019;Vern-sur-Seiche;35352;8049;1019;8180
2020;VERN-SUR-SEICHE;35352;8193;883;
2019;Vezin-le-Coquet;35353;5987;79;3901
2020;VEZIN-LE-COQUET;35353;6096;79;
2020;VITRE;35360;18815;2731;
2019;Vitr�;35360;18267;4783;25981
2020;PONT-PEAN;35363;4543;350;
2019;Pont-P�an;35363;4437;374;3188
2019;Gu�men�-Penfao;44067;5207;120;7308
2019;Pless�;44128;5257;142;4664
2019;Allaire;56001;3866;149;5712
2020;ALLAIRE;56001;3993;143;
2020;ARRADON;56003;5551;491;
2019;Arradon;56003;5377;445;6667
2020;AURAY;56007;14358;2045;
2019;Auray;56007;13945;2303;19250
2019;Baden;56008;4362;172;4975
2020;BADEN;56008;4482;161;
2020;BAUD;56010;6440;521;
2019;Baud;56010;6247;537;6957
2020;BELZ;56013;3796;77;
2019;Belz;56013;3735;76;3884
2019;Brech;56023;6631;143;7457
2020;BRECH;56023;6911;115;
2019;Carnac;56034;4250;762;15476
2020;CARNAC;56034;4376;823;
2020;CAUDAN;56036;7091;301;
2019;Caudan;56036;6891;315;8269
2019;Elven;56053;6173;118;6702
2020;ELVEN;56053;6290;112;
2019;Erdeven;56054;3749;28;4690
2020;ERDEVEN;56054;3844;16;
2019;La Gacilly;56061;3979;587;4465
2020;LA GACILLY;56061;4059;211;
2019;Gourin;56066;3794;157;5433
2020;GOURIN;56066;3944;94;
2019;Grand-Champ;56067;5459;518;7396
2020;GRAND-CHAMP;56067;5595;633;
2019;Guer;56075;6141;295;5178
2020;GUER;56075;6434;277;
2019;Guidel;56078;11659;827;13784
2020;GUIDEL;56078;11963;833;
2019;Hennebont;56083;15858;1668;18973
2020;HENNEBONT;56083;16259;1134;
2020;INZINZAC-LOCHRIST;56090;6660;854;
2019;Inzinzac-Lochrist;56090;6526;597;8656
2020;KERVIGNAC;56094;6833;225;
2019;Kervignac;56094;6622;241;6762
2020;LANDEVANT;56097;3977;1775;
2019;Land�vant;56097;3908;1386;4150
2019;Lanester;56098;23026;3343;27811
2020;LANESTER;56098;23498;2981;
2019;Languidic;56101;8010;924;7409
2020;LANGUIDIC;56101;8160;1676;
2020;LARMOR PLAGE;56107;8569;895;
2019;Larmor-Plage;56107;8327;894;9428
2019;Locmin�;56117;4437;594;5355
2020;LOCMINE;56117;4674;364;
2019;Locmiqu�lic;56118;4021;228;4532
2020;LOCMIQUELIC;56118;4133;182;
2019;Lorient;56121;57084;12867;87084
2020;LORIENT;56121;58543;12770;
2020;MOREAC;56140;3859;37;
2019;Mor�ac;56140;3764;36;5251
2019;Muzillac;56143;5041;806;4924
2020;MUZILLAC;56143;5165;846;
2019;�vellys;56144;3477;47;2539
2020;EVELLYS;56144;3540;16;
2019;Nivillac;56147;4645;483;6513
2020;NIVILLAC;56147;4730;433;
2020;NOYAL PONTIVY;56151;3735;114;
2019;Noyal-Pontivy;56151;3619;103;3709
2020;PLESCOP;56158;6173;189;
2019;Plescop;56158;5999;207;5903
2019;Ploemeur;56162;17790;2149;23220
2020;PLOEMEUR;56162;18445;2080;
2019;Ploeren;56164;6601;281;5573
2020;PLOEREN;56164;6822;481;
2020;PLOERMEL;56165;10351;2852;
2019;Plo�rmel;56165;9787;1445;13579
2020;PLOUAY;56166;5853;323;
2019;Plouay;56166;5726;279;8107
2020;PLOUHINEC;56169;5492;287;
2019;Plouhinec;56169;5367;229;7004
2020;PLUMELIAU-BIEUZY;56173;4460;214;
2019;Plum�liau-Bieuzy;56173;4363;1021;6349
2020;PLUMERGAT;56175;4238;704;
2019;Plumergat;56175;4145;570;3206
2019;Pluneret;56176;5796;41;5190
2020;PLUNERET;56176;5932;24;
2019;Pluvigner;56177;7635;423;7107
2020;PLUVIGNER;56177;7775;475;
2019;Pontivy;56178;14889;2225;18270
2020;PONTIVY;56178;15819;1670;
2019;Pont-Scorff;56179;3790;317;4028
2020;PONT SCORFF;56179;3874;413;
2019;Questembert;56184;7723;729;9805
2020;QUESTEMBERT;56184;7997;750;
2020;QUEVEN;56185;8963;1052;
2019;Qu�ven;56185;8725;1184;10202
2020;QUIBERON;56186;4731;432;
2019;Quiberon;56186;4640;480;12522
2019;Riantec;56193;5722;180;5628
2020;RIANTEC;56193;5864;172;
2019;Saint-Av�;56206;11787;824;11197
2020;SAINT AVE;56206;12086;914;
2020;SAINT NOLFF;56231;3960;197;
2019;Saint-Nolff;56231;3838;369;3880
2020;SARZEAU;56240;8658;111;
2020;SENE;56243;9201;960;
2019;S�n�;56243;8946;1000;9743
2019;Sulniac;56247;3714;83;4126
2020;SULNIAC;56247;3802;37;
2019;Surzur;56248;4502;172;5345
2020;SURZUR;56248;4593;197;
2019;Theix-Noyalo;56251;8117;616;8579
2020;THEIX NOYALO;56251;8349;2129;
2020;VANNES;56260;55411;9257;
2019;Vannes;56260;53438;10040;83730
