Departement;codeInsee;Nom commune
22;22277;SAINT-BRANDAN
22;22283;SAINT-CLET
22;22295;SAINT-GILLES-VIEUX-MARCHE
22;22340;TONQUEDEC
22;22353;TREGASTEL
22;22359;TREGROM
22;22368;TREMEREUC
22;22384;UZEL
22;22006;BERHET
22;22026;CALORGUEN
22;22075;HEMONSTOIR
22;22092;KERPERT
22;22093;LAMBALLE-ARMOR
22;22109;LANLOUP
22;22119;LANVELLEC
22;22172;PLANCOET
22;22054;ERQUY
22;22091;KERMOROC'H
22;22094;LANCIEUX
22;22097;LA LANDEC
22;22184;PLEMY
22;22202;PLEVIN
22;22205;PLOREC-SUR-ARGUENON
22;22211;PLOUBEZRE
22;22221;PLOUGUIEL
22;22312;SAINT-MADEN
22;22316;SAINT-MAYEUX
22;22337;SEVIGNAC
22;22265;ROSPEZ
22;22339;TADEN
22;22361;TREGUIDEL
22;22364;TRELIVAN
22;22366;TREMEL
22;22002;ANDEL
22;22013;BOURBRIAC
22;22082;LE HINGLE
22;22135;LOUARGAT
22;22165;PENGUILY
22;22204;PLOEZAL
22;22018;BRELIDY
22;22025;CALLAC
22;22062;GOMENE
22;22121;LANVOLLON
22;22131;LOGUIVY-PLOUGRAS
22;22161;PABU
22;22164;PEDERNEC
22;22166;PENVENAN
22;22264;LA ROCHE-JAUDY
22;22273;SAINT-ALBAN
22;22293;SAINT-GILLES-LES-BOIS
22;22286;SAINT-DENOUAL
22;22302;SAINT-JACUT-DE-LA-MER
22;22346;TREDANIEL
22;22372;TREMUSON
22;22373;TREOGAN
22;22386;LE VIEUX-BOURG
22;22005;BELLE-ISLE-EN-TERRE
22;22012;LA BOUILLIE
22;22028;CAMLEZ
22;22029;CANIHUEL
22;22085;KERBORS
22;22118;LANVALLAY
22;22138;MAEL-PESTIVIEN
22;22148;MERILLAC
22;22160;NOYAL
22;22186;PLENEUF-VAL-ANDRE
22;22190;PLESLIN-TRIGAVOU
22;22210;PLOUBAZLANEC
22;22219;PLOUGUENAST-LANGAST
22;22220;PLOUGUERNEVEL
22;22268;RUCA
22;22271;SAINT-ADRIEN
22;22335;SENVEN-LEHART
22;22349;TREDREZ-LOCQUEMEAU
22;22390;YVIAS
22;22008;BOBITAL
22;22036;LA CHAPELLE-BLANCHE
22;22072;GURUNHUEL
22;22107;BON REPOS SUR BLAVET
22;22129;LOC-ENVEL
22;22152;MINIHY-TREGUIER
22;22249;PONT-MELVEZ
22;22254;PRAT
22;22052;DUAULT
22;22299;SAINT-HELEN
22;22309;SAINT-LAUNEUC
22;22371;TREMOREL
22;22380;TREVRON
22;22095;LANDEBAERON
22;22108;LANLEFF
22;22158;GUERLEDAN
22;22175;PLEDELIAC
22;22229;PLOUNEVEZ-QUINTIN
22;22232;PLOURHAN
22;22248;POMMERIT-LE-VICOMTE
22;22281;SAINT-CARREUC
22;22269;RUNAN
22;22294;SAINT-GILLES-PLIGEAUX
22;22331;SAINTE-TREPHINE
22;22344;TREBRIVAN
22;22031;CARNOET
22;22048;CORSEUL
22;22065;GOUDELIN
22;22079;HENON
22;22136;LOUDEAC
22;22141;MANTALLOT
22;22146;MELLIONNEC
22;22171;PLAINTEL
22;22180;PLELAN-LE-PETIT
22;22193;PLESTAN
22;22212;PLOUEC-DU-TRIEUX
22;22237;PLUDUNO
22;22241;PLUMIEUX
22;22244;PLUSSULIEN
22;22272;SAINT-AGATHON
22;22328;SAINT-SERVAIS
22;22376;TREVE
22;22024;CALANHEL
22;22030;CAOUENNEC-LANVEZEAC
22;22049;CREHEN
22;22115;LANRIVAIN
22;22147;MERDRIGNAC
22;22189;PLESIDY
22;22199;PLEUMEUR-GAUTIER
22;22234;PLOUVARA
22;22243;PLUSQUELLEC
22;22263;LE QUIOU
22;22313;SAINT-MARTIN-DES-PRES
22;22322;SAINT-PEVER
22;22325;SAINT-QUAY-PORTRIEUX
22;22001;ALLINEUC
22;22044;COETMIEUX
22;22045;COHINIAC
22;22076;HENANBIHEN
22;22087;KERGRIST-MOELOU
22;22117;LANTIC
22;22124;LESCOUET-GOUAREC
22;22183;PLEMET
22;22208;PLOUASNE
22;22223;PLOUISY
22;22239;PLUMAUDAN
22;22289;SAINT-FIACRE
22;22352;TREFUMEL
22;22370;TREMEVEN
22;22020;BROONS
22;22099;LANFAINS
22;22105;LANGUENAN
22;22126;LE LESLAY
22;22233;PLOURIVO
22;22240;PLUMAUGAT
22;22016;ILE-DE-BREHAT
22;22037;LA CHAPELLE-NEUVE
22;22103;LANGROLAY-SUR-RANCE
22;22127;LEZARDRIEUX
22;22156;MOUSTERU
22;22179;FREHEL
22;22182;PLELO
22;22214;PLOUEZEC
22;22216;PLOUGONVER
22;22228;PLOUNEVEZ-MOEDEC
22;22279;SAINT-CARADEC
22;22326;SAINT-RIEUL
22;22348;TREDIAS
22;22356;TREGOMEUR
22;22385;LA VICOMTE-SUR-RANCE
22;22282;SAINT-CAST-LE-GUILDO
22;22314;SAINT-MAUDAN
22;22332;SAINT-TRIMOEL
22;22343;TREBEURDEN
22;22050;DINAN
22;22056;EVRAN
22;22057;LE FAOUET
22;22070;GUINGAMP
22;22074;LE HAUT-CORLAY
22;22090;KERMARIA-SULARD
22;22122;LAURENAN
22;22134;LOUANNEC
22;22155;LA MOTTE
22;22242;PLURIEN
22;22040;COADOUT
22;22088;KERIEN
22;22096;LANDEBIA
22;22188;PLERNEUF
22;22213;PLOUER-SUR-RANCE
22;22215;PLOUFRAGAN
22;22238;PLUFUR
22;22250;PONTRIEUX
22;22285;SAINT-CONNEC
22;22321;SAINT-NICOLAS-DU-PELEM
22;22323;SAINT-POTAN
22;22342;TREBEDAN
22;22347;TREDARZEC
22;22369;TREMEUR
22;22378;TREVEREC
22;22276;SAINT-BIHY
22;22278;SAINT-BRIEUC
22;22287;SAINT-DONAN
22;22311;SAINT-LORMEL
22;22350;TREDUDER
22;22379;TREVOU-TREGUIGNEC
22;22019;BRINGOLO
22;22153;MONCONTOUR
22;22218;PLOUGRESCANT
22;22235;PLOUZELAMBRE
22;22009;LE BODEO
22;22014;BOURSEUL
22;22033;CAUREL
22;22041;COATASCORN
22;22059;LE FŒIL
22;22061;GLOMEL
22;22140;LA MALHOURE
22;22177;PLEGUIEN
22;22209;BEAUSSAIS-SUR-MER
22;22222;PLOUHA
22;22227;PLOUNERIN
22;22288;SAINT-ETIENNE-DU-GUE-DE-L'ISLE
22;22306;SAINT-JUDOCE
22;22307;SAINT-JULIEN
22;22319;SAINT-MICHEL-EN-GREVE
22;22334;SAINT-IGEAUX
22;22391;YVIGNAC-LA-TOUR
22;22027;LE CAMBOUT
22;22039;LA CHEZE
22;22046;LE MENE
22;22086;KERFOT
22;22132;LOHUEC
22;22194;PLESTIN-LES-GREVES
22;22195;PLEUBIAN
22;22200;PLEVEN
22;22207;PLOUARET
22;22004;BEGARD
22;22042;COATREVEN
22;22098;LANDEHEN
22;22157;LE MOUSTOIR
22;22169;PEUMERIT-QUINTIN
22;22003;AUCALEUC
22;22035;LES CHAMPS-GERAUX
22;22077;HENANSAL
22;22104;LANGUEDIAS
22;22111;LANMODEZ
22;22197;PLEUDIHEN-SUR-RANCE
22;22266;ROSTRENEN
22;22284;SAINT-CONNAN
22;22333;SAINT-VRAN
22;22345;TREBRY
22;22258;QUESSOY
22;22308;SAINT-JUVAT
22;22055;BINIC-ETABLES-SUR-MER
22;22162;PAIMPOL
22;22196;PLEUDANIEL
22;22224;PLOULEC'H
22;22011;BOQUEHO
22;22067;GRACES
22;22110;LANMERIN
22;22113;LANNION
22;22170;PLAINE-HAUTE
22;22262;QUINTIN
22;22280;SAINT-CARNE
22;22315;SAINT-MAUDEZ
22;22351;TREFFRIN
22;22360;TREGUEUX
22;22260;LE QUILLIO
22;22305;SAINT-JOUAN-DE-L'ISLE
22;22363;TRELEVERN
22;22389;YFFINIAC
22;22015;BREHAND
22;22064;GOUAREC
22;22068;GRACE-UZEL
22;22081;HILLION
22;22145;MEGRIT
22;22149;MERLEAC
22;22185;PLENEE-JUGON
22;22201;PLEVENON
22;22251;PORDIC
22;22256;QUEMPER-GUEZENNEC
29;29013;BOTMEUR
29;29022;CAMARET-SUR-MER
29;29034;LE CLOITRE-SAINT-THEGONNEC
29;29077;GUISSENY
29;29081;HUELGOAT
29;29160;PLABENNEC
29;29216;PLUGUFFAN
29;29233;QUIMPERLE
29;29240;ROSNOEN
29;29245;SAINT-DIVY
29;29279;TAULE
29;29282;TREBABU
29;29297;TREMEVEN
29;29301;TREZILIDE
29;29093;KERNILIS
29;29098;LAMPAUL-PLOUARZEL
29;29112;LANILDUT
29;29137;LOGONNA-DAOULAS
29;29165;PLOBANNALEC-LESCONIL
29;29167;PLOGASTEL-SAINT-GERMAIN
29;29015;BOURG-BLANC
29;29023;CARANTEC
29;29061;GOUESNOU
29;29111;LANHOUARNEAU
29;29123;LENNON
29;29130;LOCMARIA-PLOUZANE
29;29131;LOCMELAR
29;29162;PLEYBEN
29;29181;PLOUEDERN
29;29005;BAYE
29;29036;COLLOREC
29;29048;EDERN
29;29117;LANNILIS
29;29132;LOCQUENOLE
29;29146;MELGVEN
29;29155;OUESSANT
29;29190;PLOUGONVELIN
29;29217;PONT-AVEN
29;29221;PORSPODER
29;29229;QUEMENEVEN
29;29268;SAINT-THONAN
29;29296;TREMEOC
29;29014;BOTSORHEL
29;29016;BRASPARTS
29;29041;CORAY
29;29053;LE FAOU
29;29091;KERLOUAN
29;29107;LANDUDAL
29;29134;LOCRONAN
29;29215;PLOZEVET
29;29218;PONT-CROIX
29;29243;SAINT-COULITZ
29;29265;SAINTE-SEVE
29;29277;SIZUN
29;29038;COMMANA
29;29057;LA FORET-FOUESNANT
29;29067;GUERLESQUIN
29;29074;GUIMILIAU
29;29094;KERNOUES
29;29168;PLOGOFF
29;29183;PLOUEGAT-MOYSAN
29;29197;PLOUHINEC
29;29199;PLOUIGNEAU
29;29225;POULDREUZIC
29;29257;SAINT-PABU
29;29302;PONT-DE-BUIS-LES-QUIMERCH
29;29006;BENODET
29;29018;BRENNILIS
29;29070;GUILER-SUR-GOYEN
29;29084;ILE-MOLENE
29;29113;LANMEUR
29;29115;LANNEDERN
29;29124;LESNEVEN
29;29144;LA MARTYRE
29;29177;PLOUARZEL
29;29222;PORT-LAUNAY
29;29027;CHATEAUNEUF-DU-FAOU
29;29032;CLOHARS-FOUESNANT
29;29035;COAT-MEAL
29;29043;DAOULAS
29;29059;GARLAN
29;29064;GOULVEN
29;29152;MOTREFF
29;29204;PLOUNEVENTER
29;29209;PLOUVIEN
29;29267;SAINT-THOIS
29;29287;TREFLEZ
29;29294;LE TREHOU
29;29042;CROZON
29;29142;LOTHEY
29;29184;PLOUENAN
29;29256;SAINT-NIC
29;29003;AUDIERNE
29;29033;LE CLOITRE-PLEYBEN
29;29075;GUIPAVAS
29;29101;LANDEDA
29;29212;PLOUZANE
29;29249;SAINT-GOAZEC
29;29260;SAINT-RENAN
29;29261;SAINT-RIVOAL
29;29272;SAINT-YVI
29;29278;SPEZET
29;29291;TREGOUREZ
29;29262;SAINT-SAUVEUR
29;29295;TREMAOUEZAN
29;29062;GOUEZEC
29;29080;HOPITAL-CAMFROUT
29;29083;ILE-DE-SEIN
29;29148;MESPAUL
29;29159;PEUMERIT
29;29213;PLOUZEVEDE
29;29293;TREGUNC
29;29010;BODILIS
29;29026;CHATEAULIN
29;29051;ERGUE-GABERIC
29;29280;TELGRUC-SUR-MER
29;29007;BERRIEN
29;29031;CLOHARS-CARNOET
29;29097;LAMPAUL-GUIMILIAU
29;29143;MAHALON
29;29180;PLOUDIRY
29;29214;PLOVAN
29;29251;SAINT-JEAN-DU-DOIGT
29;29055;LE FOLGOET
29;29056;LA FOREST-LANDERNEAU
29;29076;MILIZAC-GUIPRONVEL
29;29100;LANARVILY
29;29104;LANDEVENNEC
29;29105;LANDIVISIAU
29;29141;LOQUEFFRET
29;29145;CONFORT-MEILARS
29;29174;PLONEOUR-LANVERN
29;29179;PLOUDANIEL
29;29185;PLOUESCAT
29;29226;POULLAN-SUR-MER
29;29227;POULLAOUEN
29;29271;SAINT-VOUGAY
29;29298;TREOGAT
29;29045;DIRINON
29;29049;ELLIANT
29;29119;LANRIVOARE
29;29139;LOPEREC
29;29150;MOELAN-SUR-MER
29;29153;NEVEZ
29;29163;PLEYBER-CHRIST
29;29191;PLOUGONVEN
29;29207;PLOURIN-LES-MORLAIX
29;29238;ROSCANVEL
29;29241;ROSPORDEN
29;29030;CLEDER
29;29054;LA FEUILLEE
29;29060;GOUESNACH
29;29126;LOC-BREVALAIRE
29;29151;MORLAIX
29;29171;PLOMEUR
29;29182;PLOUEGAT-GUERAND
29;29192;PLOUGOULM
29;29208;PLOURIN
29;29228;PRIMELIN
29;29264;SAINT-SERVAIS
29;29275;SCRIGNAC
29;29276;SIBIRIL
29;29286;TREFLEVENEZ
29;29288;TREGARANTEC
29;29114;LANNEANOU
29;29166;PLOEVEN
29;29186;PLOUEZOC'H
29;29195;PLOUGUERNEAU
29;29234;REDENE
29;29246;SAINT-ELOY
29;29299;TREOUERGAT
29;29011;BOHARS
29;29017;BRELES
29;29058;FOUESNANT
29;29128;LOC-EGUINER
29;29140;LOPERHET
29;29232;QUIMPER
29;29254;SAINT-MARTIN-DES-CHAMPS
29;29044;DINEAULT
29;29120;LANVEOC
29;29248;SAINT-FREGANT
29;29281;TOURCH
29;29046;DOUARNENEZ
29;29047;LE DRENNEC
29;29071;GUILLIGOMARC'H
29;29161;PLEUVEN
29;29201;PLOUMOGUER
29;29224;POULDERGAT
29;29250;SAINT-HERNIN
29;29269;SAINT-THURIEN
29;29292;TREGUENNEC
29;29012;BOLAZEC
29;29020;BRIEC
29;29065;GOURLIZON
29;29066;GUENGAT
29;29068;GUICLAN
29;29079;HENVIC
29;29090;KERLAZ
29;29099;LAMPAUL-PLOUDALMEZEAU
29;29116;LANNEUFFRET
29;29125;LEUHAN
29;29172;PLOMODIERN
29;29236;RIEC-SUR-BELON
29;29247;SAINT-EVARZEC
29;29255;SAINT-MEEN
29;29284;TREFFIAGAT
29;29002;ARZANO
29;29040;LE CONQUET
29;29078;HANVEC
29;29087;LE JUCH
29;29147;MELLAC
29;29175;PLONEVEZ-DU-FAOU
29;29188;PLOUGASNOU
29;29198;PLOUIDER
29;29220;PONT-L'ABBE
29;29252;SAINT-JEAN-TROLIMON
29;29273;SANTEC
29;29289;TREGARVAN
29;29102;LANDELEAU
29;29158;PENMARCH
29;29230;QUERRIEN
29;29001;ARGOL
29;29082;ILE-DE-BATZ
29;29085;ILE-TUDY
29;29108;LANDUDEC
29;29110;LANGOLEN
29;29156;PENCRAN
29;29169;PLOGONNEC
29;29173;PLONEIS
29;29176;PLONEVEZ-PORZAY
29;29178;PLOUDALMEZEAU
29;29189;PLOUGASTEL-DAOULAS
29;29235;LE RELECQ-KERHUON
29;29259;SAINT-POL-DE-LEON
29;29024;CARHAIX-PLOUGUER
29;29025;CAST
29;29063;GOULIEN
29;29103;LANDERNEAU
29;29106;LANDREVARZEC
29;29122;LAZ
29;29170;PLOMELIN
29;29187;PLOUGAR
29;29193;PLOUGOURVEST
29;29205;PLOUNEVEZEL
29;29210;PLOUVORN
29;29211;PLOUYE
29;29244;SAINT-DERRIEN
29;29270;SAINT-URBAIN
29;29274;SCAER
29;29290;TREGLONOU
29;29300;LE TREVOUX
29;29266;SAINT-THEGONNEC LOC-EGUINER
29;29004;BANNALEC
29;29008;BEUZEC-CAP-SIZUN
29;29019;BREST
29;29037;COMBRIT
29;29069;GUILERS
29;29072;GUILVINEC
29;29073;GUIMAEC
29;29109;LANDUNVEZ
29;29133;LOCQUIREC
29;29206;PLOUNEVEZ-LOCHRIST
29;29237;LA ROCHE-MAURICE
29;29021;PLOUNEOUR-BRIGNOGAN-PLAGES
29;29095;KERSAINT-PLABENNEC
29;29136;LOCUNOLE
29;29196;PLOUGUIN
29;29202;PLOUNEOUR-MENEZ
29;29239;ROSCOFF
29;29263;SAINT-SEGAL
29;29285;TREFLAOUENAN
29;29028;CLEDEN-CAP-SIZUN
29;29029;CLEDEN-POHER
29;29039;CONCARNEAU
29;29086;IRVILLAC
29;29089;KERGLOFF
29;29135;LOCTUDY
35;35006;ARGENTRE-DU-PLESSIS
35;35012;BAIN-DE-BRETAGNE
35;35102;DROUGES
35;35103;EANCE
35;35127;GUIGNEN
35;35203;LA NOUAYE
35;35277;SAINT-GONLAY
35;35278;SAINT-GREGOIRE
35;35283;SAINT-JEAN-SUR-VILAINE
35;35296;SAINT-MEDARD-SUR-ILLE
35;35322;LE SEL-DE-BRETAGNE
35;35329;SOUGEAL
35;35332;TEILLAY
35;35336;LE TIERCENT
35;35339;TRANS-LA-FORET
35;35340;TREFFENDEL
35;35347;VAL-D'IZE
35;35021;BEAUCE
35;35022;BECHEREL
35;35032;BOURGBARRE
35;35039;BRECE
35;35054;CHANTELOUP
35;35081;CLAYES
35;35096;DOMAGNE
35;35124;GRAND-FOUGERAY
35;35142;LANDEAN
35;35173;MELESSE
35;35192;MONTREUIL-DES-LANDES
35;35288;SAINT-MALO
35;35306;SAINT-PERE-MARC-EN-POULET
35;35308;MESNIL-ROC'H
35;35316;SAINT-SULPICE-DES-LANDES
35;35145;LANGON
35;35047;BRUZ
35;35093;DINARD
35;35106;ERCE-EN-LAMEE
35;35120;GEVEZE
35;35131;L'HERMITAGE
35;35164;MARCILLE-RAOUL
35;35180;MINIAC-SOUS-BECHEREL
35;35188;MONTFORT-SUR-MEU
35;35241;LA RICHARDAIS
35;35266;SAINT-ERBLON
35;35294;SAINTE-MARIE
35;35335;THOURIE
35;35363;PONT-PEAN
35;35034;LA BOUSSAC
35;35071;LE CHATELLIER
35;35078;CHERRUEIX
35;35101;DOURDAIN
35;35212;PANCE
35;35214;PARCE
35;35257;MAEN ROCH
35;35299;SAINT-MELOIR-DES-ONDES
35;35321;SAULNIERES
35;35055;CHANTEPIE
35;35058;LA CHAPELLE-CHAUSSEE
35;35089;LA COUYERE
35;35123;GOVEN
35;35134;LES IFFS
35;35146;LANGOUET
35;35154;LIVRE-SUR-CHANGEON
35;35202;LA NOE-BLANCHE
35;35242;RIMOU
35;35271;SAINT-GEORGES-DE-REINTEMBAULT
35;35309;SAINT-REMY-DU-PLAIN
35;35352;VERN-SUR-SEICHE
35;35037;BREAL-SOUS-MONTFORT
35;35042;BRIELLES
35;35062;LA CHAPELLE-JANSON
35;35122;LA GOUESNIERE
35;35135;IRODOUER
35;35149;LASSY
35;35166;MARPIRE
35;35175;MERNEL
35;35197;MOUAZE
35;35231;POLIGNE
35;35276;SAINT-GONDRAN
35;35311;SAINT-SEGLIN
35;35330;TAILLIS
35;35353;VEZIN-LE-COQUET
35;35357;VILLAMEE
35;35024;BETTON
35;35075;CHAUVIGNE
35;35091;LE CROUAIS
35;35111;LE FERRE
35;35128;GUIPEL
35;35139;LAILLE
35;35157;LE LOROUX
35;35167;MARTIGNE-FERCHAUD
35;35232;PRINCE
35;35246;ROZ-LANDRIEUX
35;35284;SAINT-JOUAN-DES-GUERETS
35;35342;TREMEHEUC
35;35105;ERBREE
35;35114;FORGES-LA-FORET
35;35189;MONTGERMONT
35;35220;PIRE-CHANCE
35;35221;PLECHATEL
35;35243;ROMAGNE
35;35005;ARBRISSEL
35;35046;LES BRULAIS
35;35273;SAINT-GERMAIN-EN-COGLES
35;35291;SAINT-MARCAN
35;35305;SAINT-PERAN
35;35004;VAL-COUESNON
35;35018;LA BAZOUGE-DU-DESERT
35;35027;BOISGERVILLY
35;35094;DINGE
35;35117;GAEL
35;35132;HIREL
35;35144;LANGAN
35;35170;MECE
35;35251;SAINT-AUBIN-D'AUBIGNE
35;35263;SAINT-COULOMB
35;35328;SIXT-SUR-AFF
35;35355;VIEUX-VY-SUR-COUESNON
35;35003;ANDOUILLE-NEUVILLE
35;35030;LA BOSSE-DE-BRETAGNE
35;35066;CHARTRES-DE-BRETAGNE
35;35076;CHAVAGNE
35;35104;EPINIAC
35;35107;ERCE-PRES-LIFFRE
35;35184;MONTAUBAN-DE-BRETAGNE
35;35199;MOUSSE
35;35229;POCE-LES-BOIS
35;35261;SAINT-CHRISTOPHE-DE-VALAINS
35;35289;SAINT-MALO-DE-PHILY
35;35304;SAINT-OUEN-DES-ALLEUX
35;35001;ACIGNE
35;35040;BRETEIL
35;35051;CESSON-SEVIGNE
35;35067;CHASNE-SUR-ILLET
35;35069;CHATEAUGIRON
35;35072;CHATILLON-EN-VENDELAIS
35;35077;CHELUN
35;35084;COMBLESSAC
35;35140;LALLEU
35;35230;POILLEY
35;35260;SAINT-CHRISTOPHE-DES-BOIS
35;35287;SAINT-LUNAIRE
35;35351;LE VERGER
35;35359;VISSEICHE
35;35019;BAZOUGES-LA-PEROUSE
35;35028;BOISTRUDAN
35;35108;ESSE
35;35125;LA GUERCHE-DE-BRETAGNE
35;35130;HEDE-BAZOUGES
35;35165;MARCILLE-ROBERT
35;35183;MONDEVERT
35;35262;SAINTE-COLOMBE
35;35361;LE VIVIER-SUR-MER
35;35013;BAINS-SUR-OUST
35;35015;BALAZE
35;35023;BEDEE
35;35082;COESMES
35;35151;LIEURON
35;35153;LILLEMER
35;35171;MEDREAC
35;35193;MONTREUIL-LE-GAST
35;35205;NOYAL-SOUS-BAZOUGES
35;35249;SAINTE-ANNE-SUR-VILAINE
35;35310;SAINT-SAUVEUR-DES-LANDES
35;35334;THORIGNE-FOUILLARD
35;35057;LA CHAPELLE-BOUEXIC
35;35133;IFFENDIC
35;35136;JANZE
35;35162;LOUVIGNE-DU-DESERT
35;35195;MONTREUIL-SUR-ILLE
35;35208;ORGERES
35;35227;PLEUMELEUC
35;35244;ROMAZY
35;35264;SAINT-DIDIER
35;35272;SAINT-GERMAIN-DU-PINEL
35;35026;BLERUAIS
35;35079;CHEVAIGNE
35;35080;CINTRE
35;35200;MOUTIERS
35;35217;LE PERTRE
35;35235;RANNEE
35;35238;RENNES
35;35265;SAINT-DOMINEUC
35;35282;RIVES-DU-COUESNON
35;35292;SAINT-MARC-LE-BLANC
35;35307;SAINT-PERN
35;35360;VITRE
35;35362;LE TRONCHET
35;35041;BRIE
35;35115;FOUGERES
35;35191;LES PORTES DU COGLAIS
35;35252;SAINT-AUBIN-DES-LANDES
35;35286;SAINT-LEGER-DES-PRES
35;35326;SENS-DE-BRETAGNE
35;35331;TALENSAC
35;35337;TINTENIAC
35;35346;TRIMER
35;35010;BAGUER-PICAN
35;35056;LA CHAPELLE-AUX-FILTZMEENS
35;35148;LANRIGAN
35;35160;LOUTEHEL
35;35206;NOYAL-CHATILLON-SUR-SEICHE
35;35216;PARTHENAY-DE-BRETAGNE
35;35224;PLERGUER
35;35239;RETIERS
35;35245;ROMILLE
35;35247;ROZ-SUR-COUESNON
35;35290;SAINT-MALON-SUR-MEL
35;35314;SAINT-SULIAC
35;35318;SAINT-THUAL
35;35014;BAIS
35;35045;BRUC-SUR-AFF
35;35065;LA CHAPELLE-THOUARAULT
35;35086;COMBOURTILLE
35;35088;CORPS-NUDS
35;35110;FEINS
35;35126;GUICHEN
35;35159;LOURMAIS
35;35176;GUIPRY-MESSAC
35;35222;PLEINE-FOUGERES
35;35248;SAINS
35;35279;SAINT-GUINOUX
35;35324;LA SELLE-EN-LUITRE
35;35350;VERGEAL
35;35356;VIGNOC
35;35358;LA VILLE-ES-NONAIS
35;35070;CHATEAUNEUF-D'ILLE-ET-VILAINE
35;35098;LA DOMINELAIS
35;35177;LA MEZIERE
35;35210;PACE
35;35225;PLESDER
35;35228;PLEURTUIT
35;35274;SAINT-GERMAIN-SUR-ILLE
35;35280;SAINT-HILAIRE-DES-LANDES
35;35281;SAINT-JACQUES-DE-LA-LANDE
35;35302;SAINT-ONEN-LA-CHAPELLE
35;35017;LA BAUSSAINE
35;35025;BILLE
35;35061;LA CHAPELLE-ERBREE
35;35063;LA CHAPELLE-SAINT-AUBERT
35;35116;LA FRESNAIS
35;35185;MONTAUTOUR
35;35186;MONT-DOL
35;35194;MONTREUIL-SOUS-PEROUSE
35;35207;NOYAL-SUR-VILAINE
35;35219;PIPRIAC
35;35250;SAINT-ARMEL
35;35275;SAINT-GILLES
35;35325;LA SELLE-GUERCHAISE
35;35327;SERVON-SUR-VILAINE
35;35338;TORCE
35;35009;BAGUER-MORVAN
35;35060;LA CHAPELLE DU LOU DU LAC
35;35090;CREVIN
35;35137;JAVENE
35;35169;MAXENT
35;35179;MINIAC-MORVAN
35;35211;PAIMPONT
35;35236;REDON
35;35285;SAINT-JUST
35;35315;SAINT-SULPICE-LA-FORET
35;35319;SAINT-THURIAL
35;35333;LE THEIL-DE-BRETAGNE
35;35343;TRESBŒUF
35;35049;CANCALE
35;35052;CHAMPEAUX
35;35085;COMBOURG
35;35087;CORNILLE
35;35097;DOMALAIN
35;35099;DOMLOUP
35;35109;ETRELLES
35;35119;GENNES-SUR-SEICHE
35;35174;MELLE
35;35198;MOULINS
35;35223;PLELAN-LE-GRAND
35;35234;QUEDILLAC
35;35256;SAINT-BRIAC-SUR-MER
35;35258;SAINT-BRIEUC-DES-IFFS
35;35300;SAINT-M'HERVE
35;35002;AMANLIS
35;35007;AUBIGNE
35;35050;CARDROC
35;35092;CUGUEN
35;35112;FLEURIGNE
35;35141;LANDAVRAN
35;35187;MONTERFIL
35;35201;MUEL
35;35255;SAINT-BENOIT-DES-ONDES
35;35259;SAINT-BROLADRE
35;35031;LA BOUEXIERE
35;35138;LAIGNELET
35;35161;LOUVIGNE-DE-BAIS
35;35181;LE MINIHIC-SUR-RANCE
35;35196;MORDELLES
